Syslog logging: enabled (0 messages dropped, 3 messages rate-limited, 0 flushes, 0 overruns, xml disabled, filtering disabled)

No Active Message Discriminator.



No Inactive Message Discriminator.


    Console logging: disabled
    Monitor logging: level debugging, 0 messages logged, xml disabled,
                     filtering disabled
    Buffer logging:  level debugging, 206 messages logged, xml disabled,
                    filtering disabled
    Exception Logging: size (4096 bytes)
    Count and timestamp logging messages: disabled
    Persistent logging: disabled

No active filter modules.

    Trap logging: level informational, 206 message lines logged
        Logging Source-Interface:       VRF Name:
    TLS Profiles: 

Log Buffer (131072 bytes):

*Mar  2 05:10:12.664: %PNP-6-PNP_BEST_UDI_UPDATE: Best UDI [PID:CSR1000V,VID:V00,SN:99QQK0GW1PC] identified via (entity-mibs)
*Mar  2 05:10:12.665: %PNP-6-PNP_CDP_UPDATE: Device UDI [PID:CSR1000V,VID:V00,SN:99QQK0GW1PC] identified for CDP
*Mar  2 05:10:12.670: %PNP-6-PNP_DISCOVERY_STOPPED: PnP Discovery stopped (Startup Config Present)
*Mar  2 05:10:12.875: %ONEP_BASE-6-SS_ENABLED: ONEP: Service set Base was enabled by Default
*Mar  2 05:10:12.885: %OSPF-5-ADJCHG: Process 1, Nbr 198.18.0.123 on GigabitEthernet1 from LOADING to FULL, Loading Done
*Mar  2 05:10:16.068: %OSPF-5-ADJCHG: Process 1, Nbr 198.18.0.131 on GigabitEthernet1 from LOADING to FULL, Loading Done
*Mar  2 05:10:28.549: %CRYPTO_ENGINE-5-KEY_ADDITION: A key named ssh-key.server has been generated or imported by crypto-engine
*Mar  2 05:10:38.918: %SEC_LOGIN-5-LOGIN_SUCCESS: Login Success [user: cisco] [Source: 10.16.36.98] [localport: 22] at 05:10:38 UTC Thu Mar 2 2023
*Mar  2 05:10:42.895: %SYS-5-LOG_CONFIG_CHANGE: Console logging disabled
*Mar  2 05:10:43.196: %SYS-5-CONFIG_I: Configured from console by cisco on vty0 (10.16.36.98)
*Mar  2 05:10:49.165: %SEC_LOGIN-5-LOGIN_SUCCESS: Login Success [user: cisco] [Source: 10.16.36.99] [localport: 22] at 05:10:49 UTC Thu Mar 2 2023
*Mar  2 05:11:36.877: %SEC_LOGIN-5-LOGIN_SUCCESS: Login Success [user: cisco] [Source: 10.16.36.99] [localport: 22] at 05:11:36 UTC Thu Mar 2 2023
*Mar  2 05:12:38.851: %SYS-6-LOGOUT: User cisco has exited tty session 3(10.16.36.99)
*Mar  2 05:12:51.077: %SEC_LOGIN-5-LOGIN_SUCCESS: Login Success [user: cisco] [Source: 10.16.36.99] [localport: 22] at 05:12:51 UTC Thu Mar 2 2023
*Mar  2 05:12:53.612: %SYS-6-LOGOUT: User cisco has exited tty session 1(10.16.36.98)
*Mar  2 05:13:27.028: %SEC_LOGIN-5-LOGIN_SUCCESS: Login Success [user: cisco] [Source: 10.16.36.99] [localport: 22] at 05:13:27 UTC Thu Mar 2 2023
*Mar  2 05:14:01.135: %SYS-6-LOGOUT: User cisco has exited tty session 1(10.16.36.99)
*Mar  2 05:14:41.725: %SEC_LOGIN-5-LOGIN_SUCCESS: Login Success [user: cisco] [Source: 10.16.36.99] [localport: 22] at 05:14:41 UTC Thu Mar 2 2023
*Mar  2 05:15:05.928: %SEC_LOGIN-5-LOGIN_SUCCESS: Login Success [user: cisco] [Source: 10.16.36.98] [localport: 22] at 05:15:05 UTC Thu Mar 2 2023
*Mar  2 05:15:07.548: %SYS-5-CONFIG_I: Configured from console by cisco on vty2 (10.16.36.98)
*Mar  2 05:15:21.981: %SYS-6-LOGOUT: User cisco has exited tty session 1(10.16.36.99)
*Mar  2 05:15:55.433: %SEC_LOGIN-5-LOGIN_SUCCESS: Login Success [user: cisco] [Source: 10.16.36.99] [localport: 22] at 05:15:55 UTC Thu Mar 2 2023
*Mar  2 05:15:57.590: %SYS-6-LOGOUT: User cisco has exited tty session 1(10.16.36.99)
*Mar  2 05:16:04.839: %SEC_LOGIN-5-LOGIN_SUCCESS: Login Success [user: cisco] [Source: 10.16.36.99] [localport: 22] at 05:16:04 UTC Thu Mar 2 2023
*Mar  2 05:16:39.807: %SYS-6-LOGOUT: User cisco has exited tty session 4(10.16.36.99)
*Mar  2 05:17:04.869: %SYS-6-LOGOUT: User cisco has exited tty session 3(10.16.36.98)
*Mar  2 05:17:57.370: %SEC_LOGIN-5-LOGIN_SUCCESS: Login Success [user: cisco] [Source: 10.16.36.99] [localport: 22] at 05:17:57 UTC Thu Mar 2 2023
*Mar  2 05:18:31.447: %SYS-6-LOGOUT: User cisco has exited tty session 1(10.16.36.99)
*Mar  2 05:19:44.610: %SEC_LOGIN-5-LOGIN_SUCCESS: Login Success [user: cisco] [Source: 10.16.36.99] [localport: 22] at 05:19:44 UTC Thu Mar 2 2023
*Mar  2 05:20:36.847: %SYS-6-LOGOUT: User cisco has exited tty session 1(10.16.36.99)
*Mar  2 05:21:18.675: %SEC_LOGIN-5-LOGIN_SUCCESS: Login Success [user: cisco] [Source: 10.16.36.98] [localport: 22] at 05:21:18 UTC Thu Mar 2 2023
*Mar  2 05:21:20.395: %SYS-5-CONFIG_I: Configured from console by cisco on vty0 (10.16.36.98)
*Mar  2 05:22:08.581: %SEC_LOGIN-5-LOGIN_SUCCESS: Login Success [user: cisco] [Source: 10.16.36.99] [localport: 22] at 05:22:08 UTC Thu Mar 2 2023
*Mar  2 05:22:42.497: %SYS-6-LOGOUT: User cisco has exited tty session 3(10.16.36.99)
*Mar  2 05:23:15.553: %SYS-6-LOGOUT: User cisco has exited tty session 1(10.16.36.98)
*Mar  2 05:24:21.747: %SEC_LOGIN-5-LOGIN_SUCCESS: Login Success [user: cisco] [Source: 10.16.36.99] [localport: 22] at 05:24:21 UTC Thu Mar 2 2023
*Mar  2 05:24:54.328: %SYS-6-LOGOUT: User cisco has exited tty session 1(10.16.36.99)
*Mar  2 05:24:56.784: %SEC_LOGIN-5-LOGIN_SUCCESS: Login Success [user: cisco] [Source: 10.16.36.99] [localport: 22] at 05:24:56 UTC Thu Mar 2 2023
*Mar  2 05:25:30.694: %SYS-6-LOGOUT: User cisco has exited tty session 1(10.16.36.99)
*Mar  2 05:25:33.673: %SEC_LOGIN-5-LOGIN_SUCCESS: Login Success [user: cisco] [Source: 10.16.36.99] [localport: 22] at 05:25:33 UTC Thu Mar 2 2023
*Mar  2 05:26:07.523: %SYS-6-LOGOUT: User cisco has exited tty session 1(10.16.36.99)
*Mar  2 05:30:06.251: %SEC_LOGIN-5-LOGIN_SUCCESS: Login Success [user: cisco] [Source: 10.16.36.99] [localport: 22] at 05:30:06 UTC Thu Mar 2 2023
*Mar  2 05:30:40.058: %SYS-6-LOGOUT: User cisco has exited tty session 1(10.16.36.99)
*Mar  2 05:32:09.615: %SEC_LOGIN-5-LOGIN_SUCCESS: Login Success [user: cisco] [Source: 10.16.36.98] [localport: 22] at 05:32:09 UTC Thu Mar 2 2023
*Mar  2 05:32:38.341: %SYS-6-LOGOUT: User cisco has exited tty session 1(10.16.36.98)
*Mar  2 05:38:22.207: %SEC_LOGIN-5-LOGIN_SUCCESS: Login Success [user: cisco] [Source: 10.16.36.98] [localport: 22] at 05:38:22 UTC Thu Mar 2 2023
*Mar  2 05:40:13.218: %SYS-6-LOGOUT: User cisco has exited tty session 1(10.16.36.98)
*Mar  2 05:40:43.320: %SEC_LOGIN-5-LOGIN_SUCCESS: Login Success [user: cisco] [Source: 10.16.36.98] [localport: 22] at 05:40:43 UTC Thu Mar 2 2023
*Mar  2 05:41:16.457: %SYS-6-LOGOUT: User cisco has exited tty session 1(10.16.36.98)
*Mar  2 05:41:34.966: %SEC_LOGIN-5-LOGIN_SUCCESS: Login Success [user: cisco] [Source: 10.16.36.98] [localport: 22] at 05:41:34 UTC Thu Mar 2 2023
*Mar  2 05:41:48.158: %SYS-6-LOGOUT: User cisco has exited tty session 1(10.16.36.98)
*Mar  2 05:43:34.926: %SEC_LOGIN-5-LOGIN_SUCCESS: Login Success [user: cisco] [Source: 10.16.36.98] [localport: 22] at 05:43:34 UTC Thu Mar 2 2023
*Mar  2 05:44:04.497: %SYS-6-LOGOUT: User cisco has exited tty session 1(10.16.36.98)
*Mar  2 06:02:59.096: %SEC_LOGIN-5-LOGIN_SUCCESS: Login Success [user: cisco] [Source: 10.16.36.98] [localport: 22] at 06:02:59 UTC Thu Mar 2 2023
*Mar  2 06:03:05.479: %SYS-6-LOGOUT: User cisco has exited tty session 1(10.16.36.98)
*Mar  2 06:15:42.371: %SEC_LOGIN-5-LOGIN_SUCCESS: Login Success [user: cisco] [Source: 10.16.36.99] [localport: 22] at 06:15:42 UTC Thu Mar 2 2023
*Mar  2 06:15:55.248: %SYS-6-LOGOUT: User cisco has exited tty session 1(10.16.36.99)
*Mar  2 06:17:59.535: %SEC_LOGIN-5-LOGIN_SUCCESS: Login Success [user: cisco] [Source: 10.16.36.99] [localport: 22] at 06:17:59 UTC Thu Mar 2 2023
*Mar  2 06:18:10.933: %SYS-6-LOGOUT: User cisco has exited tty session 1(10.16.36.99)
*Mar  2 06:18:50.030: %SEC_LOGIN-5-LOGIN_SUCCESS: Login Success [user: cisco] [Source: 10.16.36.99] [localport: 22] at 06:18:50 UTC Thu Mar 2 2023
*Mar  2 06:19:00.684: %SYS-6-LOGOUT: User cisco has exited tty session 1(10.16.36.99)
*Mar  2 06:57:42.835: %SEC_LOGIN-5-LOGIN_SUCCESS: Login Success [user: cisco] [Source: 10.16.36.99] [localport: 22] at 06:57:42 UTC Thu Mar 2 2023
*Mar  2 06:58:05.054: %SYS-6-LOGOUT: User cisco has exited tty session 1(10.16.36.99)
*Mar  2 06:58:17.740: %SEC_LOGIN-5-LOGIN_SUCCESS: Login Success [user: cisco] [Source: 10.16.36.99] [localport: 22] at 06:58:17 UTC Thu Mar 2 2023
*Mar  2 06:58:40.806: %SYS-6-LOGOUT: User cisco has exited tty session 1(10.16.36.99)
*Mar  2 06:58:42.861: %SEC_LOGIN-5-LOGIN_SUCCESS: Login Success [user: cisco] [Source: 10.16.36.99] [localport: 22] at 06:58:42 UTC Thu Mar 2 2023
*Mar  2 06:59:06.373: %SYS-6-LOGOUT: User cisco has exited tty session 1(10.16.36.99)
*Mar  2 06:59:38.332: %SEC_LOGIN-5-LOGIN_SUCCESS: Login Success [user: cisco] [Source: 10.16.36.99] [localport: 22] at 06:59:38 UTC Thu Mar 2 2023
*Mar  2 07:00:02.324: %SYS-6-LOGOUT: User cisco has exited tty session 1(10.16.36.99)
*Mar  2 07:00:41.094: %SEC_LOGIN-5-LOGIN_SUCCESS: Login Success [user: cisco] [Source: 10.16.36.99] [localport: 22] at 07:00:41 UTC Thu Mar 2 2023
*Mar  2 07:01:09.512: %SYS-6-LOGOUT: User cisco has exited tty session 1(10.16.36.99)
*Mar  2 07:13:30.035: %SEC_LOGIN-5-LOGIN_SUCCESS: Login Success [user: cisco] [Source: 10.16.36.99] [localport: 22] at 07:13:30 UTC Thu Mar 2 2023
*Mar  2 07:13:32.098: %SYS-6-LOGOUT: User cisco has exited tty session 1(10.16.36.99)
*Mar  2 07:13:39.037: %SEC_LOGIN-5-LOGIN_SUCCESS: Login Success [user: cisco] [Source: 10.16.36.99] [localport: 22] at 07:13:39 UTC Thu Mar 2 2023
*Mar  2 07:28:25.226: %SEC_LOGIN-5-LOGIN_SUCCESS: Login Success [user: cisco] [Source: 10.16.36.99] [localport: 22] at 07:28:25 UTC Thu Mar 2 2023
*Mar  2 07:28:27.002: %SYS-6-LOGOUT: User cisco has exited tty session 1(10.16.36.99)
*Mar  2 07:28:44.119: %SEC_LOGIN-5-LOGIN_SUCCESS: Login Success [user: cisco] [Source: 10.16.36.99] [localport: 22] at 07:28:44 UTC Thu Mar 2 2023
*Mar  2 07:28:51.577: %SEC_LOGIN-5-LOGIN_SUCCESS: Login Success [user: cisco] [Source: 10.16.36.99] [localport: 22] at 07:28:51 UTC Thu Mar 2 2023
*Mar  2 07:28:53.386: %SYS-6-LOGOUT: User cisco has exited tty session 3(10.16.36.99)
*Mar  2 07:29:14.635: %SEC_LOGIN-5-LOGIN_SUCCESS: Login Success [user: cisco] [Source: 10.16.36.99] [localport: 22] at 07:29:14 UTC Thu Mar 2 2023
*Mar  2 07:29:16.483: %SYS-6-LOGOUT: User cisco has exited tty session 3(10.16.36.99)
*Mar  2 07:29:30.013: %SEC_LOGIN-5-LOGIN_SUCCESS: Login Success [user: cisco] [Source: 10.16.36.99] [localport: 22] at 07:29:30 UTC Thu Mar 2 2023
*Mar  2 07:30:04.672: %SYS-6-LOGOUT: User cisco has exited tty session 3(10.16.36.99)
*Mar  2 07:42:56.288: %SEC_LOGIN-5-LOGIN_SUCCESS: Login Success [user: cisco] [Source: 10.16.36.100] [localport: 22] at 07:42:56 UTC Thu Mar 2 2023
*Mar  2 07:43:09.457: %SYS-6-LOGOUT: User cisco has exited tty session 3(10.16.36.100)
*Mar  2 07:43:23.959: %SEC_LOGIN-5-LOGIN_SUCCESS: Login Success [user: cisco] [Source: 10.16.36.100] [localport: 22] at 07:43:23 UTC Thu Mar 2 2023
*Mar  2 07:43:35.929: %SYS-6-LOGOUT: User cisco has exited tty session 3(10.16.36.100)
*Mar  2 07:48:12.012: %SEC_LOGIN-5-LOGIN_SUCCESS: Login Success [user: cisco] [Source: 10.16.36.99] [localport: 22] at 07:48:12 UTC Thu Mar 2 2023
*Mar  2 07:48:13.898: %SYS-6-LOGOUT: User cisco has exited tty session 3(10.16.36.99)
*Mar  2 07:48:43.461: %SEC_LOGIN-5-LOGIN_SUCCESS: Login Success [user: cisco] [Source: 10.16.36.99] [localport: 22] at 07:48:43 UTC Thu Mar 2 2023
*Mar  2 07:49:02.637: %SYS-6-LOGOUT: User cisco has exited tty session 3(10.16.36.99)
*Mar  2 07:49:29.322: %SEC_LOGIN-5-LOGIN_SUCCESS: Login Success [user: cisco] [Source: 10.16.36.99] [localport: 22] at 07:49:29 UTC Thu Mar 2 2023
*Mar  2 07:50:05.402: %OSPF-5-ADJCHG: Process 1, Nbr 198.18.0.133 on GigabitEthernet1 from 2WAY to DOWN, Neighbor Down: Dead timer expired
*Mar  2 07:50:33.021: %SYS-6-LOGOUT: User cisco has exited tty session 3(10.16.36.99)
*Mar  2 07:51:09.830: %SEC_LOGIN-5-LOGIN_SUCCESS: Login Success [user: cisco] [Source: 10.16.36.99] [localport: 22] at 07:51:09 UTC Thu Mar 2 2023
